year,thetau,thetar,pr,Lt
1840,1.0,1.0,0.870606070251573,1.0
1850,0.940004491952632,1.0974386271129584,0.6955312067158502,1.0499454573788374
1860,0.9622030102256516,1.23432806651474,0.5857718887026971,1.0889044724949355
1870,1.1989433367508264,1.3296906559188277,0.655198721083184,1.0617217051298398
1880,1.2844148679371223,1.3275683573598231,0.7299253104872376,1.134069600280505
1890,1.3997182212398214,1.4257429378916504,0.7178654849570195,1.158008064516129
1900,1.5796641254136794,1.6180386959378605,0.6703711594093246,1.1771920348293596
1910,1.7698426312770674,1.6534730281657886,0.7403468713045218,1.2002122779336142
1920,1.875775928836187,1.618665396974339,0.804678022092088,1.1510912575970083
1930,2.436703033239508,2.0355200057690706,0.7610468851116357,1.213538563581113
1940,2.936577044743004,2.346829544733791,0.7496065707498212,1.2079242636746144
1950,3.1774181953015628,2.7314283473286527,0.6542832610638398,1.2256992023141655
1960,4.607377752175303,4.181755987526383,0.5496875336911675,1.3552839673913046
1970,7.228166857678347,7.251135298941594,0.4393195470259914,1.509102138015094
1980,9.586051584038175,9.45356475904192,0.4318419919816688,1.6086864314098714
1990,11.423257348745569,14.874698726065885,0.3016471555248906,1.6959636804581582
2000,13.133201760114229,21.841979263091993,0.22500310095162737,1.7702681451612903
2010,14.507225241565212,24.127133556635975,0.2275416024888374,1.8880012564282376
2020,16.0250019803008,26.651365549223197,0.22893145628705716,1.9666807586989916
